time,date,pm25,pm10,pm,,no2,so2,o3,MQ135,co,temperature,humidity,aqi,aqi_category
6:00:00,2020-01-01,371.8,739.4,555.6,,119.6,47.7,12.3,59.86666667,5.19,9.4,100,500,Severe
12:00:00,2020-01-01,301.1,588.8,444.95,,117.9,39.3,15.8,57.66666667,4.32,20.6,50,500,Severe
18:00:00,2020-01-01,334,602.6,468.3,,150.1,36.3,14.3,66.9,7.13,12.4,56,500,Severe
23:00:00,2020-01-01,403.8,841.8,622.8,,142,30.3,13.2,61.83333333,4.9,14.4,48,500,Severe
6:00:00,2020-01-01,433.2,784.7,608.95,,138.4,41.5,15.4,65.1,7.56,6.8,100,500,Severe
12:00:00,2020-01-01,233.4,426.8,330.1,,72.2,30.4,24.6,42.4,3.99,20,64,396,Very Poor
18:00:00,2020-01-01,362.2,633,497.6,,174.6,40.7,13.5,76.26666667,6.74,14.9,47,500,Severe
23:00:00,2020-01-01,346.9,564.4,455.65,,141.3,43.4,16.3,67,5.51,13.3,51,500,Severe
6:00:00,2020-01-01,326.2,587.1,456.65,,121.5,42.4,14.3,59.4,4.76,6.1,100,500,Severe
12:00:00,2020-01-01,311.9,559.1,435.5,,114.4,26.7,12.6,51.23333333,4.06,17.4,56,500,Severe
18:00:00,2020-01-01,354.6,758.2,556.4,,180.3,47.2,13,80.16666667,8.58,14.9,46,500,Severe
23:00:00,2020-01-01,336.3,625.1,480.7,,115,30,15.9,53.63333333,6.02,12.9,47,500,Severe
6:00:00,2020-01-01,324.5,590.2,457.35,,111.6,29.4,17.1,52.7,5.79,6.2,100,500,Severe
12:00:00,2020-01-01,302.1,580.8,441.45,,96.4,29.8,17.6,47.93333333,3.86,17.3,61,500,Severe
18:00:00,2020-01-01,316.2,637.6,476.9,,157.3,23.9,16.1,65.76666667,7.06,15.3,57,500,Severe
23:00:00,2020-01-01,375.6,701.5,538.55,,113.1,35.4,16,54.83333333,5.27,13.3,59,500,Severe
6:00:00,2020-01-01,293.1,641.1,467.1,,115.2,30.3,24.8,56.76666667,5.01,7.6,100,500,Severe
12:00:00,2020-01-01,215.4,349.5,282.45,,66.6,13.2,26.4,35.4,3.37,20.2,47,373,Very Poor
18:00:00,2020-01-01,273.9,442,357.95,,139,25.6,21.1,61.9,5.64,14.3,47,418,Severe
23:00:00,2020-01-01,300.6,626,463.3,,105.9,19.3,17.9,47.7,4.42,15.4,60,500,Severe
6:00:00,2020-01-01,346,617.3,481.65,,106.2,23.7,15.7,48.53333333,4.38,9.9,100,500,Severe
12:00:00,2020-01-01,266.1,574.3,420.2,,106.8,16.8,29.1,50.9,3.62,19.2,64,500,Severe
18:00:00,2020-01-01,285.5,522.3,403.9,,153,22,28.1,67.7,6.35,15.6,52,500,Severe
23:00:00,2020-01-01,273.4,465.3,369.35,,92.5,27.9,22.4,47.6,4.14,15.3,55,444,Severe
6:00:00,2020-01-01,371.5,785.5,578.5,,146.5,30.7,17.2,64.8,6.38,9.2,100,500,Severe
12:00:00,2020-01-01,212.5,427.2,319.85,,88.3,13,21.6,40.96666667,2.63,20.8,52,396,Very Poor
18:00:00,2020-01-01,284.3,485.3,384.8,,119.4,26.7,27.9,58,4.8,14.4,50,469,Severe
23:00:00,2020-01-01,294.1,610.9,452.5,,103.7,18.6,23.5,48.6,3.68,15.9,49,500,Severe
6:00:00,2020-01-01,368.9,704,536.45,,151.9,28,12.5,64.13333333,6.04,9.5,100,500,Severe
12:00:00,2020-01-01,261.3,550.3,405.8,,85.6,19.4,24.8,43.26666667,3.92,18.3,60,500,Severe
18:00:00,2020-01-01,301.1,598.9,450,,151.6,28.5,13.3,64.46666667,7.33,14.7,46,500,Severe
23:00:00,2020-01-01,291.4,615.9,453.65,,117.4,24.5,23.8,55.23333333,4.04,15.3,49,500,Severe
6:00:00,2020-01-01,309.6,539.3,424.45,,127.5,19.9,15.4,54.26666667,5.38,7.1,96,500,Severe
12:00:00,2020-01-01,236.6,474.5,355.55,,81.9,15.7,22.4,40,3.38,17.7,47,456,Severe
18:00:00,2020-01-01,309.7,657.2,483.45,,136.5,17.3,16,56.6,5.36,12.7,62,500,Severe
23:00:00,2020-01-01,249.8,509.3,379.55,,100.1,20.8,20.5,47.13333333,3.67,12.8,64,499,Severe
6:00:00,2020-01-01,356.7,675.3,516,,122.5,29.2,14.3,55.33333333,4.57,8.8,100,500,Severe
12:00:00,2020-01-01,214.7,370.4,292.55,,86.6,18.6,26.3,43.83333333,3.29,19.7,56,373,Very Poor
18:00:00,2020-01-01,293.3,513.6,403.45,,163,28.4,23.8,71.73333333,6.67,13.2,61,500,Severe
