time,date,pm,MQ135,co,temperature,humidity,aqi,aqi_category
6:00:00,2020-01-01,555.6,59.86666667,5.19,9.4,100,500,Severe
12:00:00,2020-01-01,444.95,57.66666667,4.32,20.6,50,500,Severe
18:00:00,2020-01-01,468.3,66.9,7.13,12.4,56,500,Severe
23:00:00,2020-01-01,622.8,61.83333333,4.9,14.4,48,500,Severe
6:00:00,2020-01-01,608.95,65.1,7.56,6.8,100,500,Severe
12:00:00,2020-01-01,330.1,42.4,3.99,20.0,64,396,Very Poor
18:00:00,2020-01-01,497.6,76.26666667,6.74,14.9,47,500,Severe
23:00:00,2020-01-01,455.65,67.0,5.51,13.3,51,500,Severe
6:00:00,2020-01-01,456.65,59.4,4.76,6.1,100,500,Severe
12:00:00,2020-01-01,435.5,51.23333333,4.06,17.4,56,500,Severe
18:00:00,2020-01-01,556.4,80.16666667,8.58,14.9,46,500,Severe
23:00:00,2020-01-01,480.7,53.63333333,6.02,12.9,47,500,Severe
6:00:00,2020-01-01,457.35,52.7,5.79,6.2,100,500,Severe
12:00:00,2020-01-01,441.45,47.93333333,3.86,17.3,61,500,Severe
18:00:00,2020-01-01,476.9,65.76666667,7.06,15.3,57,500,Severe
23:00:00,2020-01-01,538.55,54.83333333,5.27,13.3,59,500,Severe
6:00:00,2020-01-01,467.1,56.76666667,5.01,7.6,100,500,Severe
12:00:00,2020-01-01,282.45,35.4,3.37,20.2,47,373,Very Poor
18:00:00,2020-01-01,357.95,61.9,5.64,14.3,47,418,Severe
23:00:00,2020-01-01,463.3,47.7,4.42,15.4,60,500,Severe
6:00:00,2020-01-01,481.65,48.53333333,4.38,9.9,100,500,Severe
12:00:00,2020-01-01,420.2,50.9,3.62,19.2,64,500,Severe
18:00:00,2020-01-01,403.9,67.7,6.35,15.6,52,500,Severe
23:00:00,2020-01-01,369.35,47.6,4.14,15.3,55,444,Severe
6:00:00,2020-01-01,578.5,64.8,6.38,9.2,100,500,Severe
12:00:00,2020-01-01,319.85,40.96666667,2.63,20.8,52,396,Very Poor
18:00:00,2020-01-01,384.8,58.0,4.8,14.4,50,469,Severe
23:00:00,2020-01-01,452.5,48.6,3.68,15.9,49,500,Severe
6:00:00,2020-01-01,536.45,64.13333333,6.04,9.5,100,500,Severe
12:00:00,2020-01-01,405.8,43.26666667,3.92,18.3,60,500,Severe
18:00:00,2020-01-01,450.0,64.46666667,7.33,14.7,46,500,Severe
23:00:00,2020-01-01,453.65,55.23333333,4.04,15.3,49,500,Severe
6:00:00,2020-01-01,424.45,54.26666667,5.38,7.1,96,500,Severe
12:00:00,2020-01-01,355.55,40.0,3.38,17.7,47,456,Severe
18:00:00,2020-01-01,483.45,56.6,5.36,12.7,62,500,Severe
23:00:00,2020-01-01,379.55,47.13333333,3.67,12.8,64,499,Severe
6:00:00,2020-01-01,516.0,55.33333333,4.57,8.8,100,500,Severe
12:00:00,2020-01-01,292.55,43.83333333,3.29,19.7,56,373,Very Poor
18:00:00,2020-01-01,403.45,71.73333333,6.67,13.2,61,500,Severe
23:00:00,2020-01-01,458.6,47.33333333,3.98,15.9,63,500,Severe
6:00:00,2020-01-01,478.65,48.66666667,4.67,6.8,100,500,Severe
12:00:00,2020-01-01,273.55,35.16666667,3.38,19.6,65,368,Very Poor
18:00:00,2020-01-01,390.4,50.2,4.53,15.0,56,500,Severe
23:00:00,2020-01-01,393.35,47.03333333,5.16,15.7,60,485,Severe
6:00:00,2020-01-01,379.2,42.4,4.23,7.4,100,473,Severe
12:00:00,2020-01-01,329.4,36.73333333,3.14,19.0,64,414,Severe
18:00:00,2020-01-01,345.05,52.7,5.38,12.6,63,456,Severe
23:00:00,2020-01-01,413.5,44.06666667,4.55,15.0,52,500,Severe
6:00:00,2020-01-01,461.55,49.66666667,5.13,9.9,100,500,Severe
12:00:00,2020-01-01,333.85,46.13333333,3.92,17.2,46,408,Severe
18:00:00,2020-01-01,377.4,59.73333333,5.75,14.1,64,466,Severe
23:00:00,2020-01-01,489.9,49.63333333,4.49,12.5,45,500,Severe
6:00:00,2020-01-01,336.35,45.2,4.38,8.3,100,399,Very Poor
12:00:00,2020-01-01,261.5,38.73333333,2.27,16.9,51,345,Very Poor
18:00:00,2020-01-01,300.75,48.53333333,4.08,15.1,56,376,Very Poor
23:00:00,2020-01-01,358.4,48.06666667,4.56,13.3,46,440,Severe
6:00:00,2020-01-01,450.95,54.53333333,5.15,8.9,100,500,Severe
12:00:00,2020-01-01,378.5,43.23333333,3.14,17.5,65,500,Severe
18:00:00,2020-01-01,426.5,64.0,5.99,15.0,52,500,Severe
23:00:00,2020-01-01,495.3,54.86666667,5.03,15.0,48,500,Severe
6:00:00,2020-01-01,419.55,41.83333333,3.26,9.4,100,500,Severe
12:00:00,2020-01-01,272.4,36.76666667,2.74,17.7,60,356,Very Poor
18:00:00,2020-01-01,391.1,57.56666667,4.69,14.6,46,495,Severe
23:00:00,2020-01-01,383.85,46.2,4.56,16.0,47,499,Severe
6:00:00,2020-01-01,474.1,56.8,3.7,7.7,95,500,Severe
12:00:00,2020-01-01,370.95,48.83333333,3.25,17.8,46,486,Severe
18:00:00,2020-01-01,377.85,65.33333333,5.93,14.7,47,476,Severe
23:00:00,2020-01-01,515.8,51.36666667,5.09,13.9,59,500,Severe
6:00:00,2020-01-01,544.0,54.3,6.4,6.9,100,500,Severe
12:00:00,2020-01-01,347.65,47.86666667,3.02,20.7,55,435,Severe
18:00:00,2020-01-01,410.95,66.53333333,6.42,14.6,46,500,Severe
23:00:00,2020-01-01,385.65,50.73333333,4.66,12.4,54,470,Severe
6:00:00,2020-01-01,466.75,52.1,5.42,9.9,95,500,Severe
12:00:00,2020-01-01,324.25,36.8,2.73,19.7,48,415,Severe
18:00:00,2020-01-01,391.15,68.26666667,5.89,13.5,61,500,Severe
23:00:00,2020-01-01,492.35,48.96666667,4.95,13.9,51,500,Severe
6:00:00,2020-01-01,495.7,52.03333333,4.51,8.5,100,500,Severe
12:00:00,2020-01-01,283.15,39.1,3.04,18.4,52,367,Very Poor
18:00:00,2020-01-01,481.0,77.46666667,7.76,13.8,49,500,Severe
23:00:00,2020-01-01,476.95,60.5,4.63,14.1,53,500,Severe
6:00:00,2020-01-01,547.45,61.36666667,6.57,7.6,100,500,Severe
12:00:00,2020-01-01,306.35,44.23333333,3.17,16.9,62,386,Very Poor
18:00:00,2020-01-01,351.05,52.93333333,5.19,13.0,54,437,Severe
23:00:00,2020-01-01,424.8,43.36666667,5.05,14.1,52,500,Severe
6:00:00,2020-01-01,532.3,57.76666667,5.25,8.2,100,500,Severe
12:00:00,2020-01-01,356.8,44.9,3.2,18.4,52,425,Severe
18:00:00,2020-01-01,383.2,57.8,5.05,14.5,46,494,Severe
23:00:00,2020-01-01,531.5,64.36666667,4.8,15.1,55,500,Severe
6:00:00,2020-01-01,619.3,66.5,7.1,7.3,100,500,Severe
12:00:00,2020-01-01,359.6,45.3,4.1,17.9,52,448,Severe
18:00:00,2020-01-01,422.25,55.1,5.8,12.7,54,500,Severe
23:00:00,2020-01-01,494.1,58.16666667,4.46,13.2,64,500,Severe
6:00:00,2020-01-02,598.8,63.26666667,7.62,10.0,98,500,Severe
12:00:00,2020-01-02,498.5,48.2,4.49,17.8,62,500,Severe
18:00:00,2020-01-02,404.2,62.16666667,5.03,14.5,59,500,Severe
23:00:00,2020-01-02,446.9,51.3,4.56,13.6,60,500,Severe
6:00:00,2020-01-02,494.0,65.3,5.02,7.8,100,500,Severe
12:00:00,2020-01-02,451.15,51.76666667,4.94,20.5,45,500,Severe
18:00:00,2020-01-02,505.4,80.93333333,7.15,12.0,63,500,Severe
23:00:00,2020-01-02,447.15,57.56666667,5.73,15.8,50,500,Severe
6:00:00,2020-01-02,502.45,57.1,5.62,7.1,100,500,Severe
12:00:00,2020-01-02,368.35,46.2,3.95,19.0,51,455,Severe
18:00:00,2020-01-02,427.7,58.2,5.06,13.3,46,500,Severe
23:00:00,2020-01-02,426.7,57.13333333,4.61,13.3,62,500,Severe
6:00:00,2020-01-02,602.45,74.43333333,5.05,9.4,100,500,Severe
12:00:00,2020-01-02,307.6,43.43333333,3.33,19.2,52,387,Very Poor
18:00:00,2020-01-02,533.85,81.26666667,6.98,13.8,60,500,Severe
23:00:00,2020-01-02,560.45,56.5,6.23,16.0,54,500,Severe
6:00:00,2020-01-02,498.3,46.23333333,5.85,8.0,99,500,Severe
12:00:00,2020-01-02,326.75,39.56666667,2.86,18.9,53,391,Very Poor
18:00:00,2020-01-02,362.85,72.93333333,4.71,15.4,55,434,Severe
23:00:00,2020-01-02,406.05,44.86666667,5.53,14.5,57,490,Severe
